파일명,hwp-hwpx-parser_점수,olefile_점수,kordoc_점수,승자,선택_근거
한국재정정보원_e나라도움 업무시스템 웹 접근성 컨설팅.hwp.txt, 8, 2, 9, 승자(hwp-hwpx-parser), "hwp-hwpx-parser는 표와 구조를 잘 보존하여 RAG 시스템에 적합한 데이터로, 핵심 요구사항 추출에 유리하다."
국립인천해양박물관_국립인천해양박물관 해양자료관리시스템 구축 용.hwp.txt, 8, 3, 9, 승자(kordoc), "kordoc는 표와 구조를 잘 보존하여 RAG 시스템의 요구사항 검색 및 LLM 답변 품질에 유리하다."
경기도사회서비스원_2024년 통합사회정보시스템 운영지원.hwp.txt, 8, 3, 9, 승자(kordoc), "kordoc는 표와 구조를 잘 보존하여 RAG 시스템의 요구사항 검색 및 LLM 답변 생성에 유리하다."
한국발명진흥회 입찰공고_2024년 건설기술에 관한 특허·실용신안 활용실.hwp.txt, 8, 2, 9, kordoc, "kordoc는 표와 구조를 잘 보존하여 핵심 요구사항 추출에 유리하며, hwp-hwpx-parser는 표 보존력이 떨어져 정보 손실이 발생할 수 있다."
파일명, hwp-hwpx-parser점수(1-10), olefile점수(1-10), kordoc점수(1-10), 승자(hwp-hwpx-parser/olefile/kordoc/무승부), "핵심근거(1문장)"
(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp.txt, 9, 1, 8, hwp-hwpx-parser, "hwp-hwpx-parser는 표와 구조를 잘 보존하여 핵심 요구사항 추출에 유리하며, olefile은 텍스트가 손상되어 사용 불가능하다."
국방과학연구소_대용량 자료전송시스템 고도화.hwp.txt, 8, 2, 9, kordoc, "kordoc는 표와 구조를 잘 보존하며, 핵심 요구사항 추출에 유리한 정보를 포함하고 있어 RAG 시스템에 적합하다."
파일명, hwp-hwpx-parser점수(1-10), olefile점수(1-10), kordoc점수(1-10), 승자(hwp-hwpx-parser/olefile/kordoc/무승부), "핵심근거(1문장)"
한국농수산식품유통공사_농산물가격안정기금 정부예산회계연계시스템 .hwp.txt, 8, 1, 9, kordoc, "kordoc는 표와 구조를 잘 보존하여 RAG 시스템의 요구사항 검색 및 LLM 답변 생성에 유리하다."
재단법인경기도일자리재단_2025년 통합접수시스템 운영.hwp.txt, 8, 2, 9, 승자(hwp-hwpx-parser), "hwp-hwpx-parser는 표와 구조를 잘 보존하여 핵심 요구사항 추출에 유리하며, kordoc도 우수하나 표의 가독성이 떨어짐."
파일명, hwp-hwpx-parser점수(1-10), olefile점수(1-10), kordoc점수(1-10), 승자(hwp-hwpx-parser/olefile/kordoc/무승부), "핵심근거(1문장)"
나노종합기술원_스마트 팹 서비스 활용체계 구축관련 설비온라인 시스.hwp.txt, 8, 1, 9, kordoc, "kordoc는 표와 구조를 잘 보존하여 RAG 시스템의 요구사항 검색 및 LLM 답변 생성에 유리하다."
국민연금공단_2024년 이러닝시스템 운영 용역.hwp.txt, 8, 2, 9, kordoc, "kordoc는 표와 구조를 잘 보존하여 RAG 시스템의 요구사항 검색 및 LLM 답변 품질에 유리하다."
파일명, hwp-hwpx-parser점수(1-10), olefile점수(1-10), kordoc점수(1-10), 승자(hwp-hwpx-parser/olefile/kordoc/무승부), "핵심근거(1문장)"
중앙선거관리위원회_2025년도 행정정보시스템 위탁운영사업.hwp.txt, 8, 2, 9, kordoc, "kordoc는 표와 구조를 잘 보존하여 핵심 요구사항 추출에 유리하며, hwp-hwpx-parser는 일부 정보 손실이 발생함."
경기도 평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp.txt, 8, 2, 9, 승자(kordoc), "kordoc는 표와 구조를 잘 보존하여 RAG 시스템에서 요구사항 검색과 LLM 답변 품질에 유리하다."
